ACR,4889102490
AFIDITA,7016479744
AFREM,8485709470
AFSHARI,1217655930
AGATINA,0939537655
ALANEI,9969502266
ALEXANDROVICI,1062331044
ALLMA,9472474981
AMARILDO,6200003324
AMULIU,4578918838
ANTREPRIZA,7467480506
ATONIU,7557590547
AUGUSTINO,5820064235
AVIENA,9477481789
BAGDAN,0803192994
BALCIZ,8781908638
BALTAZAR,1480597717
BASMA,5851538135
BAZGA,0930668688
BEDIHA,2301120773
BEJEAN,0063182407
BELMONDO,4040854632
BIBILIAN,6357979145
BINONI,2038414475
BLAGOI,6727084927
BLEZIUS,7899378707
BLOGA,3325052543
BOB,3037302921
BOCEANU,4434273967
BODESCU,6125693107
BOLCANA,4941774030
BONT,3037498401
BOROIANU,4174078196
BOSILICA,0859609051
BOTOS,4325427698
BRADATAN,4839195239
BRENCIU,9015077701
BRESTEAN,4239894322
BULDUR,4239957955
BUTMI,6310461537
CARAVAN,0463413208
CATARIANA,7276384029
CHIRIACUTA,0506966749
CHIRIL,8810887978
CINDRES,1970451523
CIRESAN,4430826246
CIUCIULETA,2019751896
CODRITA,3090206257
COMARDICEA,3878476699
CRAISOR,0207555537
CSEBAR,0920698172
CURCA,1533482376
CURTUMER,5772923891
DANILE,8606956246
DARVAS,8666612810
DEESSE,7819525650
DELENA,1038263046
DELIDA,2344380422
DEZI,5193045500
DIFUZARE,3862561249
DINDER,0224900681
DITIA,9824974271
DOBARU,0536387750
DONISIA,5869080149
DUNIA,1630625430
ECKEHERDT,6505392389
EFLORENTA,2661238854
ELANA,1716049941
ELFIDA,5269724641
ELZADA,3239982434
EMANUEL,6124166625
ERDEI,6428341674
ERZIRICA,5720986109
EUPSIHI,7374310206
EURIANTE,3170806192
EUZEFINA,2734481698
EVDOXIA,0204210798
EWALDE,3507976073
FAITH,5980675760
FEMINA,1710415823
FERENTEL,7860117084
FICHIRE,0504989647
FINII,2481828761
FITA,9136829435
FOTTI,1398329812
FUNK,1536379455
GABRIEEL,7851400709
GALANE,3784668183
GEGEAC,4108819477
GHEARASIM,4512328875
GHIBU,4318002289
GHINCA,9887071931
GHIULVIA,1496731179
GHULIZA,9485431265
GIANFRANCO,2417061700
GILDO,9469119325
GIRDEA,1660590242
GIUSEPI,9716262370
GLICERIA,5495583749
GRAMA,5121066441
GRECA,1618174235
GULZADE,5524255074
GYORGY,7188792754
HARAMBIE,5520971346
HEDICE,6727182260
HELLEN,9942514170
HENNY,4157990525
HENRI,1416744519
HERGHELEGIU,0963027387
HORTANSI,4329644083
HUZUN,9989943320
IBAZUR,4024919425
IEMANUEL,5479249409
ILI,9159917514
ILIANNA,0328893419
IMPEX,1059376150
IOANAS,5722025754
IOVANOVICI,9557665096
IRINUCA,6263758445
IRLANDA,5538527078
ISOVEANU,1530766208
ISTINICA,8937546503
IUBITU,7721926867
JAYYAB,1060464045
JIAN,3557496014
JIANBING,3007072919
JITAREANU,4429509947
KASMO,6561938928
KHEN,1981987266
KISPALI,2165372359
KURT,4703209326
LAINA,2708377592
LASENCO,3169570561
LEFTERIE,3912451927
LEONICA,6267515623
LERI,9081444726
LETCHIN,3289924804
LIDISOR,5779539552
LILIANNE,6908639222
LOGOJAN,3863074947
LUCIENNE,9038806041
LUNGULESCU,9310113231
MAHALEAN,0998658338
MANICATIDE,5524776178
MANILACHI,3443937709
MARGHEOALA,2291315279
MARINELLA,1572460186
MARMUZETA,0969315862
MATCASU,6090363406
MEHERA,3357817058
MERALINA,3655429711
MGHIR,2821044450
MICAEL,4325341769
MICUT,7441099099
MIHAILI,8351680756
MIHAY,1713639642
MILINA,4671938648
MIRELUS,2447100017
MISILIN,6560712139
MITEA,6115390065
MODISTRU,9929983348
MONICUTA,3821952883
